time_id,class_id,period,begin,end
1,8831,1,1900-01-02T05:30:00.000Z,1900-01-02T07:00:00.000Z
2,8834,1,1900-01-02T00:00:00.000Z,1900-01-02T02:00:00.000Z
3,8837,1,1900-01-03T05:30:00.000Z,1900-01-03T07:00:00.000Z
4,8840,1,1900-01-04T05:30:00.000Z,1900-01-04T07:00:00.000Z
5,8843,1,1900-01-02T06:30:00.000Z,1900-01-02T08:00:00.000Z
6,8846,1,1900-01-03T08:30:00.000Z,1900-01-03T09:30:00.000Z
7,8849,1,1900-01-04T06:00:00.000Z,1900-01-04T07:30:00.000Z
8,8852,1,1900-01-02T05:00:00.000Z,1900-01-02T06:30:00.000Z
9,8855,1,1900-01-01T04:30:00.000Z,1900-01-01T06:00:00.000Z
10,8858,1,1900-01-02T06:30:00.000Z,1900-01-02T08:00:00.000Z
11,8861,1,1900-01-02T00:00:00.000Z,1900-01-02T01:30:00.000Z
12,8864,1,1900-01-06T07:00:00.000Z,1900-01-06T09:00:00.000Z
13,8867,1,1900-01-02T05:30:00.000Z,1900-01-02T07:00:00.000Z
14,8870,1,1900-01-02T01:30:00.000Z,1900-01-02T03:00:00.000Z
15,8873,1,1900-01-02T07:00:00.000Z,1900-01-02T08:30:00.000Z
16,8876,1,1900-01-02T04:00:00.000Z,1900-01-02T06:00:00.000Z
17,8879,1,1900-01-01T04:00:00.000Z,1900-01-01T05:30:00.000Z
18,8882,1,1900-01-04T00:00:00.000Z,1900-01-04T02:00:00.000Z
19,8885,1,1900-01-02T00:00:00.000Z,1900-01-02T01:30:00.000Z
20,8888,1,1900-01-01T07:00:00.000Z,1900-01-01T08:30:00.000Z
21,8891,1,1900-01-02T07:00:00.000Z,1900-01-02T11:00:00.000Z
22,8894,1,1900-01-02T01:30:00.000Z,1900-01-02T03:00:00.000Z
23,8897,1,1900-01-02T04:00:00.000Z,1900-01-02T06:00:00.000Z
24,8900,1,1900-01-02T06:00:00.000Z,1900-01-02T07:30:00.000Z
25,8903,1,1900-01-01T06:00:00.000Z,1900-01-01T07:00:00.000Z
26,8906,1,1900-01-01T00:00:00.000Z,1900-01-01T01:30:00.000Z
27,8909,1,1900-01-06T03:00:00.000Z,1900-01-06T05:00:00.000Z
28,8912,1,1900-01-02T04:00:00.000Z,1900-01-02T05:30:00.000Z
29,8915,1,NO,NO
30,8918,1,1900-01-06T03:00:00.000Z,1900-01-06T05:00:00.000Z
31,8921,1,1900-01-02T04:00:00.000Z,1900-01-02T05:30:00.000Z
32,8924,1,1900-01-01T04:00:00.000Z,1900-01-01T05:30:00.000Z
33,8927,1,1900-01-05T23:00:00.000Z,1900-01-06T01:00:00.000Z
34,8930,1,1900-01-01T01:30:00.000Z,1900-01-01T03:00:00.000Z
35,8832,1,1900-01-01T01:00:00.000Z,1900-01-01T02:00:00.000Z
36,8835,1,1900-01-01T00:00:00.000Z,1900-01-01T01:30:00.000Z
37,8838,1,1900-01-06T00:00:00.000Z,1900-01-06T02:00:00.000Z
38,8841,1,NO,NO
39,8844,1,NO,NO
40,8847,1,1900-01-02T05:00:00.000Z,1900-01-02T06:30:00.000Z
41,8850,1,1900-01-01T01:30:00.000Z,1900-01-01T03:00:00.000Z
42,8853,1,1900-01-02T01:00:00.000Z,1900-01-02T03:00:00.000Z
43,8856,1,1900-01-01T06:00:00.000Z,1900-01-01T07:30:00.000Z
44,8859,1,1900-01-04T07:00:00.000Z,1900-01-04T08:30:00.000Z
45,8862,1,1900-01-04T08:30:00.000Z,1900-01-04T10:00:00.000Z
46,8865,1,1900-01-05T05:30:00.000Z,1900-01-05T07:00:00.000Z
47,8868,1,1900-01-01T05:30:00.000Z,1900-01-01T07:00:00.000Z
48,8871,1,1900-01-02T07:00:00.000Z,1900-01-02T08:30:00.000Z
49,8874,1,1900-01-02T04:00:00.000Z,1900-01-02T05:30:00.000Z
